startDatetime,milliseconds
2017-02-23T00:03:07+0000,0499
2017-02-23T00:03:14+0000,2205
2017-02-23T00:06:56+0000,0475
2017-02-23T00:07:03+0000,2271
2017-02-23T00:11:25+0000,0471
2017-02-23T00:11:30+0000,2264
2017-02-23T00:11:35+0000,0476
2017-02-23T00:11:42+0000,2233
2017-02-23T02:19:52+0000,0483
2017-02-23T02:19:59+0000,2305
2017-02-23T02:24:34+0000,0451
2017-02-23T02:24:39+0000,2222
2017-02-23T10:02:24+0000,0194
2017-02-23T10:02:28+0000,0148
2017-02-23T10:58:01+0000,0500
2017-02-23T11:09:46+0000,0300
2017-02-23T11:13:00+0000,0195
2017-02-23T11:13:03+0000,0161
2017-02-23T11:46:22+0000,0159
2017-02-23T11:46:24+0000,0151
2017-02-23T11:57:39+0000,0303
2017-02-23T11:58:41+0000,0000
2017-02-23T11:59:06+0000,0150
2017-02-23T11:59:08+0000,0168
2017-02-23T11:59:46+0000,0000
2017-02-23T11:59:58+0000,0700
2017-02-23T12:01:41+0000,1600
2017-02-23T12:07:50+0000,0500
2017-02-23T12:08:48+0000,1200
2017-02-23T12:11:25+0000,1100
2017-02-23T12:17:21+0000,1500
2017-02-23T12:18:13+0000,1400
2017-02-23T12:19:21+0000,2800
2017-02-23T12:22:01+0000,2800
2017-02-23T12:22:48+0000,0151
2017-02-23T12:22:50+0000,0149
2017-02-23T12:41:39+0000,0477
2017-02-23T12:41:44+0000,2212
2017-02-23T12:43:55+0000,2100
2017-02-23T12:44:25+0000,0477
2017-02-23T12:44:30+0000,2206
2017-02-23T12:44:40+0000,1500
2017-02-23T12:52:36+0000,1300
2017-02-23T12:54:29+0000,2800
2017-02-23T12:55:30+0000,1600
2017-02-23T12:55:49+0000,1000
2017-02-23T12:57:06+0000,0700
2017-02-23T12:57:54+0000,1200
2017-02-23T12:59:01+0000,0100
2017-02-23T13:00:23+0000,0000
2017-02-23T13:03:20+0000,1000
2017-02-23T13:05:31+0000,1300
2017-02-23T13:07:21+0000,0200
2017-02-23T13:08:39+0000,0700
2017-02-23T13:10:29+0000,1000
2017-02-23T13:10:59+0000,1200
2017-02-23T16:36:54+0000,0482
2017-02-23T16:37:01+0000,2228
2017-02-23T22:07:55+0000,0490
2017-02-23T22:08:03+0000,2196
2017-02-23T22:56:52+0000,0490
2017-02-23T22:56:57+0000,2181
2017-02-23T23:11:39+0000,0494
2017-02-23T23:11:46+0000,2183
2017-02-23T23:16:42+0000,0474
2017-02-23T23:16:47+0000,2181
2017-02-23T23:18:27+0000,0494
2017-02-23T23:18:34+0000,2277
2017-02-23T23:23:02+0000,0476
2017-02-23T23:23:07+0000,2255
2017-02-23T23:27:10+0000,0546
2017-02-23T23:27:17+0000,2162
2017-02-23T23:33:24+0000,0488
2017-02-23T23:33:29+0000,2186
2017-02-23T13:12:55+0000,0300
2017-02-23T13:13:48+0000,1000
2017-02-23T17:04:12+0000,0104
2017-02-23T15:57:46+0000,735
2017-02-23T15:58:07+0000,724
2017-02-23T15:58:29+0000,132
2017-02-23T16:30:19+0000,4284
2017-02-23T16:59:13+0000,1774
2017-02-23T16:59:47+0000,3280
2017-02-23T17:00:25+0000,1241
2017-02-23T17:01:19+0000,1247
2017-02-23T17:02:22+0000,6393
2017-02-23T17:07:22+0000,5328
2017-02-23T17:08:47+0000,4255
2017-02-23T17:11:39+0000,3281
2017-02-23T17:17:21+0000,259
2017-02-23T17:18:28+0000,5263
2017-02-23T17:53:51+0000,2241
